Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
6/10/2021,4239.18,6/17/2021,16.67,6/17/2021,17.75,6/17/2021,20.98,6/17/2021,23.15,6/17/2021,23.73
6/11/2021,4247.44,6/18/2021,20.14,6/18/2021,20.7,6/18/2021,22.93,6/18/2021,24.48,6/18/2021,24.67
6/14/2021,4255.15,6/21/2021,16.83,6/21/2021,17.89,6/21/2021,21.12,6/21/2021,23.37,6/21/2021,23.86
6/15/2021,4246.59,6/22/2021,14.58,6/22/2021,16.66,6/22/2021,20.07,6/22/2021,22.69,6/22/2021,23.41
6/16/2021,4223.7,6/23/2021,13.63,6/23/2021,16.32,6/23/2021,19.7,6/23/2021,22.23,6/23/2021,23.21
6/17/2021,4221.86,6/24/2021,12.77,6/24/2021,15.97,6/24/2021,19.26,6/24/2021,21.91,6/24/2021,23.08
6/18/2021,4166.45,6/25/2021,11.86,6/25/2021,15.62,6/25/2021,19,6/25/2021,21.83,6/25/2021,23.18
6/21/2021,4224.79,6/28/2021,11.92,6/28/2021,15.76,6/28/2021,19.02,6/28/2021,21.84,6/28/2021,23.2
6/22/2021,4246.44,6/29/2021,11.86,6/29/2021,16.02,6/29/2021,19.49,6/29/2021,22.14,6/29/2021,23.49
6/23/2021,4241.84,6/30/2021,11.11,6/30/2021,15.83,6/30/2021,19.51,6/30/2021,22.29,6/30/2021,23.49
6/24/2021,4266.49,7/1/2021,11.43,7/1/2021,15.48,7/1/2021,19.45,7/1/2021,22.24,7/1/2021,23.54
6/25/2021,4280.7,7/2/2021,10.4,7/2/2021,15.07,7/2/2021,19.3,7/2/2021,21.94,7/2/2021,23.35
6/28/2021,4290.61,7/6/2021,13.76,7/6/2021,16.44,7/6/2021,20.26,7/6/2021,22.51,7/6/2021,23.73
6/29/2021,4291.8,7/7/2021,13.07,7/7/2021,16.2,7/7/2021,20.41,7/7/2021,22.65,7/7/2021,23.81
6/30/2021,4297.5,7/8/2021,17.24,7/8/2021,19,7/8/2021,21.98,7/8/2021,23.56,7/8/2021,24.29
7/1/2021,4319.94,7/9/2021,13.02,7/9/2021,16.18,7/9/2021,20.44,7/9/2021,22.64,7/9/2021,23.99
7/2/2021,4352.34,7/12/2021,13.52,7/12/2021,16.17,7/12/2021,20.46,7/12/2021,22.71,7/12/2021,24.02
7/6/2021,4343.54,7/13/2021,14.98,7/13/2021,17.12,7/13/2021,21.13,7/13/2021,23.3,7/13/2021,24.37
7/7/2021,4358.13,7/14/2021,13.45,7/14/2021,16.33,7/14/2021,20.62,7/14/2021,23.07,7/14/2021,24.49
7/8/2021,4320.82,7/15/2021,14.55,7/15/2021,17.01,7/15/2021,21.09,7/15/2021,23.28,7/15/2021,24.56
7/9/2021,4369.55,7/16/2021,16.3,7/16/2021,18.45,7/16/2021,22.07,7/16/2021,23.94,7/16/2021,25.04
7/12/2021,4384.63,7/19/2021,22.15,7/19/2021,22.5,7/19/2021,24.9,7/19/2021,25.66,7/19/2021,25.95
7/13/2021,4369.21,7/20/2021,17.86,7/20/2021,19.73,7/20/2021,23.2,7/20/2021,24.64,7/20/2021,25.37
7/14/2021,4374.3,7/21/2021,14.65,7/21/2021,17.91,7/21/2021,21.87,7/21/2021,23.8,7/21/2021,24.87
7/15/2021,4360.03,7/22/2021,14.07,7/22/2021,17.69,7/22/2021,21.86,7/22/2021,23.74,7/22/2021,24.84
7/16/2021,4327.16,7/23/2021,12.87,7/23/2021,17.2,7/23/2021,21.65,7/23/2021,23.62,7/23/2021,24.8
7/19/2021,4258.49,7/26/2021,14.01,7/26/2021,17.58,7/26/2021,21.74,7/26/2021,23.68,7/26/2021,24.99
7/20/2021,4323.06,7/27/2021,17.16,7/27/2021,19.36,7/27/2021,23,7/27/2021,24.68,7/27/2021,25.57
7/21/2021,4358.69,7/28/2021,14.82,7/28/2021,18.31,7/28/2021,22.35,7/28/2021,24.36,7/28/2021,25.34
7/22/2021,4367.48,7/29/2021,13.65,7/29/2021,17.7,7/29/2021,21.88,7/29/2021,24.14,7/29/2021,25.11
7/23/2021,4411.79,7/30/2021,14.36,7/30/2021,18.24,7/30/2021,22.18,7/30/2021,24.37,7/30/2021,25.3
7/26/2021,4422.3,8/2/2021,16.21,8/2/2021,19.46,8/2/2021,23.05,8/2/2021,24.95,8/2/2021,25.64
7/27/2021,4401.46,8/3/2021,13.68,8/3/2021,18.04,8/3/2021,22.18,8/3/2021,24.36,8/3/2021,25.4
7/28/2021,4400.64,8/4/2021,13.62,8/4/2021,17.97,8/4/2021,22.17,8/4/2021,24.37,8/4/2021,25.49
7/29/2021,4419.15,8/5/2021,13.25,8/5/2021,17.28,8/5/2021,21.52,8/5/2021,23.99,8/5/2021,25.17
7/30/2021,4395.26,8/6/2021,10.96,8/6/2021,16.15,8/6/2021,20.87,8/6/2021,23.68,8/6/2021,24.97
8/2/2021,4387.16,8/9/2021,12.75,8/9/2021,16.72,8/9/2021,21.27,8/9/2021,24.13,8/9/2021,25.36
8/3/2021,4423.15,8/10/2021,13.23,8/10/2021,16.79,8/10/2021,21.21,8/10/2021,24.06,8/10/2021,25.29
8/4/2021,4402.66,8/11/2021,11.58,8/11/2021,16.06,8/11/2021,20.67,8/11/2021,23.26,8/11/2021,25.11
8/5/2021,4429.1,8/12/2021,11.54,8/12/2021,15.59,8/12/2021,20.25,8/12/2021,22.88,8/12/2021,24.52
8/6/2021,4436.52,8/13/2021,11.21,8/13/2021,15.45,8/13/2021,20.26,8/13/2021,22.92,8/13/2021,24.53
8/9/2021,4432.35,8/16/2021,13.07,8/16/2021,16.12,8/16/2021,20.64,8/16/2021,23.13,8/16/2021,24.72
8/10/2021,4436.75,8/17/2021,16.29,8/17/2021,17.91,8/17/2021,21.7,8/17/2021,24.2,8/17/2021,25.26
8/11/2021,4447.7,8/18/2021,23.12,8/18/2021,21.57,8/18/2021,23.8,8/18/2021,25.65,8/18/2021,26.17
8/12/2021,4460.83,8/19/2021,21.24,8/19/2021,21.67,8/19/2021,24.2,8/19/2021,25.84,8/19/2021,26.22
